,title,price,mileage,year,location
117,Honda Vario Std,"Rp 16,500,000",5 - 10K KM,2019,Kelapa Dua
118,Honda Pcx,"Rp 30,100,000",5 - 10K KM,2020,Kelapa Dua
119,Yamaha Nmax Abs,"Rp 28,400,000",5 - 10K KM,2021,Kelapa Dua
120,Honda Cb Verza 150,"Rp 17,800,000",5 - 10K KM,2018,Kelapa Dua
121,Honda Vario Techno 110,"Rp 7,500,000",10 - 30K KM,2011,Pancoran Mas
122,Honda New Scoopy Stylish,"Rp 15,500,000",10 - 30K KM,2018,Pancoran Mas
123,Honda Vario 125 Esp Cbs Iss,"Rp 18,600,000",10 - 30K KM,2018,Logede
124,Yamaha New Aerox 155 C Abs,"Rp 18,500,000",10 - 30K KM,2018,Pancoran Mas
125,Yamaha Aerox 155 Vva-s,"Rp 23,200,000",5 - 10K KM,2021,Kelapa Dua
126,Honda Beat,"Rp 16,100,000",5 - 10K KM,2021,Kelapa Dua
127,Honda Cb Verza 150,"Rp 17,800,000",5 - 10K KM,2018,Kelapa Dua
128,Honda Crf 150l,"Rp 29,900,000",5 - 10K KM,2019,Kelapa Dua
129,Yamaha Lexi,"Rp 18,000,000",5 - 10K KM,2019,Kelapa Dua
130,Yamaha Nmax Abs,"Rp 21,700,000",5 - 10K KM,2017,Kelapa Dua
131,Honda Scoopy,"Rp 16,900,000",5 - 10K KM,2018,Kelapa Dua
132,Honda Scoopy,"Rp 17,900,000",5 - 10K KM,2019,Kelapa Dua
133,Honda Pcx,"Rp 28,600,000",5 - 10K KM,2019,Kelapa Dua
134,Honda Cbr 150 Rcr,"Rp 20,100,000",5 - 10K KM,2017,Kelapa Dua
135,Honda Cb Verza 150,"Rp 17,800,000",5 - 10K KM,2018,Kelapa Dua
136,Honda Crf 150l,"Rp 29,900,000",5 - 10K KM,2019,Kelapa Dua
137,Yamaha Lexi,"Rp 18,000,000",5 - 10K KM,2019,Kelapa Dua
138,Yamaha Nmax Abs,"Rp 21,700,000",5 - 10K KM,2017,Kelapa Dua
139,Honda Scoopy,"Rp 16,900,000",5 - 10K KM,2018,Kelapa Dua
140,Honda Scoopy,"Rp 17,900,000",5 - 10K KM,2019,Kelapa Dua
141,Honda Pcx,"Rp 28,600,000",5 - 10K KM,2019,Kelapa Dua
142,Honda Cbr 150 Rcr,"Rp 20,100,000",5 - 10K KM,2017,Kelapa Dua
